/home/shannonfaz/pythonvenv/lib/python3.12/site-packages/torch/cuda/__init__.py:188: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 12090). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /__w/pytorch/pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
LSTM 配置: {'seed': 666, 'hidden': 8, 'epochs': 100, 'step': 30, 'stages': [1.0, 0.9, 0.8, 0.7, 0.6, 0.5]}
加载数据：有效样本 695，跳过 0。
Epoch 011 | Loss 0.0369 | Val 0.9640 | Full 0.9928
Epoch 012 | Loss 0.0470 | Val 0.9712 | Full 0.9942
Epoch 013 | Loss 0.0223 | Val 0.9496 | Full 0.9885
Epoch 014 | Loss 0.0524 | Val 0.9424 | Full 0.9871
Epoch 015 | Loss 0.0303 | Val 0.9640 | Full 0.9928
Epoch 016 | Loss 0.0272 | Val 0.9568 | Full 0.9871
Epoch 017 | Loss 0.0384 | Val 0.9712 | Full 0.9871
Epoch 018 | Loss 0.0909 | Val 0.9640 | Full 0.9899
Epoch 019 | Loss 0.0406 | Val 0.9784 | Full 0.9957
Epoch 020 | Loss 0.0294 | Val 0.9712 | Full 0.9942
Epoch 021 | Loss 0.0100 | Val 0.9496 | Full 0.9885
Epoch 022 | Loss 0.0332 | Val 0.9496 | Full 0.9885
Epoch 023 | Loss 0.0322 | Val 0.9640 | Full 0.9885
Epoch 024 | Loss 0.0566 | Val 0.9353 | Full 0.9856
Epoch 025 | Loss 0.0513 | Val 0.9640 | Full 0.9899
Epoch 026 | Loss 0.0172 | Val 0.9784 | Full 0.9957
Epoch 027 | Loss 0.0268 | Val 0.9496 | Full 0.9856
Epoch 028 | Loss 0.0524 | Val 0.9640 | Full 0.9899
Epoch 029 | Loss 0.0341 | Val 0.9712 | Full 0.9942
Epoch 030 | Loss 0.0391 | Val 0.9856 | Full 0.9957
Epoch 031 | Loss 0.0677 | Val 0.9640 | Full 0.9899
Epoch 032 | Loss 0.0201 | Val 0.9712 | Full 0.9942
Epoch 033 | Loss 0.0142 | Val 0.9784 | Full 0.9957
Epoch 034 | Loss 0.0117 | Val 0.9856 | Full 0.9971
Epoch 035 | Loss 0.0113 | Val 0.9856 | Full 0.9971
Epoch 036 | Loss 0.0013 | Val 0.9856 | Full 0.9971
Epoch 037 | Loss 0.0116 | Val 0.9856 | Full 0.9971
Epoch 038 | Loss 0.0090 | Val 0.9784 | Full 0.9957
Epoch 039 | Loss 0.0200 | Val 0.9712 | Full 0.9942
Epoch 040 | Loss 0.0029 | Val 0.9784 | Full 0.9957
Epoch 041 | Loss 0.0021 | Val 0.9784 | Full 0.9957
Epoch 042 | Loss 0.0092 | Val 0.9784 | Full 0.9957
Epoch 043 | Loss 0.0204 | Val 0.9712 | Full 0.9942
Epoch 044 | Loss 0.0082 | Val 0.9856 | Full 0.9971
Epoch 045 | Loss 0.0028 | Val 0.9856 | Full 0.9971
Epoch 046 | Loss 0.0036 | Val 0.9856 | Full 0.9971
Epoch 047 | Loss 0.0129 | Val 0.9784 | Full 0.9957
Epoch 048 | Loss 0.0056 | Val 0.9784 | Full 0.9957
Epoch 049 | Loss 0.0052 | Val 0.9784 | Full 0.9957
Epoch 050 | Loss 0.0169 | Val 0.9712 | Full 0.9928
Epoch 051 | Loss 0.0061 | Val 0.9784 | Full 0.9928
Epoch 052 | Loss 0.0070 | Val 0.9568 | Full 0.9914
Epoch 053 | Loss 0.0108 | Val 0.9568 | Full 0.9914
Epoch 054 | Loss 0.0176 | Val 0.9640 | Full 0.9914
