/home/shannonfaz/pythonvenv/lib/python3.12/site-packages/torch/cuda/__init__.py:188: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 12090). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /__w/pytorch/pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
LSTM 配置: {'seed': 123, 'hidden': 16, 'epochs': 100, 'step': 30, 'stages': [1.0, 0.9, 0.8, 0.7, 0.6, 0.5]}
加载数据：有效样本 695，跳过 0。
Epoch 062 | Loss 0.0001 | Val 0.9928 | Full 0.9986
Epoch 063 | Loss 0.0000 | Val 0.9928 | Full 0.9986
Epoch 064 | Loss 0.0008 | Val 0.9856 | Full 0.9971
Epoch 065 | Loss 0.0002 | Val 0.9856 | Full 0.9971
Epoch 066 | Loss 0.0001 | Val 0.9856 | Full 0.9971
Epoch 067 | Loss 0.0004 | Val 0.9856 | Full 0.9971
Epoch 068 | Loss 0.0002 | Val 0.9856 | Full 0.9971
Epoch 069 | Loss 0.0001 | Val 0.9856 | Full 0.9971
Epoch 070 | Loss 0.0000 | Val 0.9856 | Full 0.9971
Epoch 071 | Loss 0.0002 | Val 0.9856 | Full 0.9971
Epoch 072 | Loss 0.0018 | Val 0.9856 | Full 0.9971
Epoch 073 | Loss 0.0002 | Val 0.9856 | Full 0.9971
Epoch 074 | Loss 0.0001 | Val 0.9856 | Full 0.9971
Epoch 075 | Loss 0.0014 | Val 0.9856 | Full 0.9971
Epoch 076 | Loss 0.0003 | Val 0.9856 | Full 0.9971
Epoch 077 | Loss 0.0001 | Val 0.9856 | Full 0.9971
Epoch 078 | Loss 0.0005 | Val 0.9856 | Full 0.9971
Epoch 079 | Loss 0.0003 | Val 0.9856 | Full 0.9971
Epoch 080 | Loss 0.0003 | Val 0.9856 | Full 0.9971
Epoch 081 | Loss 0.0044 | Val 0.9856 | Full 0.9971
Epoch 082 | Loss 0.0023 | Val 0.9856 | Full 0.9971
Epoch 083 | Loss 0.0008 | Val 0.9856 | Full 0.9971
Epoch 084 | Loss 0.0016 | Val 0.9928 | Full 0.9986
Epoch 085 | Loss 0.0004 | Val 0.9928 | Full 0.9986
Epoch 086 | Loss 0.0003 | Val 0.9928 | Full 0.9986
Epoch 087 | Loss 0.0005 | Val 0.9856 | Full 0.9971
Epoch 088 | Loss 0.0015 | Val 0.9928 | Full 0.9986
Epoch 089 | Loss 0.0000 | Val 0.9928 | Full 0.9986
Epoch 090 | Loss 0.0012 | Val 0.9928 | Full 0.9986
Epoch 091 | Loss 0.0012 | Val 0.9856 | Full 0.9971
Epoch 092 | Loss 0.0002 | Val 0.9856 | Full 0.9971
Epoch 093 | Loss 0.0004 | Val 0.9856 | Full 0.9971
Epoch 094 | Loss 0.0008 | Val 0.9928 | Full 0.9986
Epoch 095 | Loss 0.0000 | Val 0.9928 | Full 0.9986
Epoch 096 | Loss 0.0003 | Val 0.9856 | Full 0.9971
Epoch 097 | Loss 0.0002 | Val 0.9856 | Full 0.9971
Epoch 098 | Loss 0.0002 | Val 0.9856 | Full 0.9971
Epoch 099 | Loss 0.0002 | Val 0.9856 | Full 0.9971
Epoch 100 | Loss 0.0001 | Val 0.9856 | Full 0.9971
  -> 本阶段最佳准确率 0.9986 (最小margin 0.7145)
Epoch 001 | Loss 0.0076 | Val 0.9928 | Full 0.9986
Epoch 002 | Loss 0.0243 | Val 0.9856 | Full 0.9971
Epoch 003 | Loss 0.0051 | Val 0.9856 | Full 0.9957
Epoch 004 | Loss 0.0333 | Val 0.9856 | Full 0.9971
Epoch 005 | Loss 0.0511 | Val 0.9928 | Full 0.9986
Epoch 006 | Loss 0.0313 | Val 1.0000 | Full 0.9957
Epoch 007 | Loss 0.0120 | Val 0.9928 | Full 0.9986
Epoch 008 | Loss 0.0089 | Val 0.9928 | Full 0.9971
Epoch 009 | Loss 0.0212 | Val 0.9928 | Full 0.9986
Epoch 010 | Loss 0.0069 | Val 0.9928 | Full 0.9899
Epoch 011 | Loss 0.0212 | Val 0.9928 | Full 0.9986
Epoch 012 | Loss 0.0141 | Val 0.9856 | Full 0.9957
Epoch 013 | Loss 0.0077 | Val 0.9856 | Full 0.9957
Epoch 014 | Loss 0.0755 | Val 0.9928 | Full 0.9986
Epoch 015 | Loss 0.0222 | Val 0.9784 | Full 0.9942
Epoch 016 | Loss 0.0517 | Val 0.9856 | Full 0.9971
Epoch 017 | Loss 0.0051 | Val 0.9640 | Full 0.9914
Epoch 018 | Loss 0.0470 | Val 0.9856 | Full 0.9971
Epoch 019 | Loss 0.0096 | Val 0.9856 | Full 0.9928
Epoch 020 | Loss 0.0531 | Val 1.0000 | Full 0.9986
Epoch 021 | Loss 0.0135 | Val 0.9856 | Full 0.9971
Epoch 022 | Loss 0.0201 | Val 0.9928 | Full 0.9971
Epoch 023 | Loss 0.0105 | Val 0.9856 | Full 0.9971
Epoch 024 | Loss 0.0191 | Val 0.9928 | Full 0.9986
Epoch 025 | Loss 0.0214 | Val 0.9784 | Full 0.9942
Epoch 026 | Loss 0.0273 | Val 0.9784 | Full 0.9942
Epoch 027 | Loss 0.0083 | Val 0.9784 | Full 0.9957
Epoch 028 | Loss 0.0205 | Val 0.9928 | Full 0.9986
Epoch 029 | Loss 0.0008 | Val 0.9856 | Full 0.9971
Epoch 030 | Loss 0.0596 | Val 0.9928 | Full 0.9914
Epoch 031 | Loss 0.0321 | Val 0.9856 | Full 0.9971
Epoch 032 | Loss 0.0309 | Val 0.9856 | Full 0.9971
Epoch 033 | Loss 0.0082 | Val 0.9856 | Full 0.9971
Epoch 034 | Loss 0.0002 | Val 0.9856 | Full 0.9971
Epoch 035 | Loss 0.0001 | Val 0.9856 | Full 0.9971
Epoch 036 | Loss 0.0009 | Val 0.9856 | Full 0.9971
Epoch 037 | Loss 0.0003 | Val 0.9856 | Full 0.9971
Epoch 038 | Loss 0.0007 | Val 0.9856 | Full 0.9971
Epoch 039 | Loss 0.0042 | Val 0.9856 | Full 0.9971
Epoch 040 | Loss 0.0103 | Val 0.9856 | Full 0.9971
Epoch 041 | Loss 0.0159 | Val 0.9856 | Full 0.9971
Epoch 042 | Loss 0.0047 | Val 0.9856 | Full 0.9971
Epoch 043 | Loss 0.0024 | Val 0.9856 | Full 0.9971
Epoch 044 | Loss 0.0055 | Val 0.9856 | Full 0.9971
Epoch 045 | Loss 0.0068 | Val 0.9856 | Full 0.9971
Epoch 046 | Loss 0.0055 | Val 0.9784 | Full 0.9928
Epoch 047 | Loss 0.0072 | Val 0.9856 | Full 0.9971
Epoch 048 | Loss 0.0035 | Val 0.9928 | Full 0.9986
Epoch 049 | Loss 0.0155 | Val 0.9856 | Full 0.9971
Epoch 050 | Loss 0.0123 | Val 0.9928 | Full 0.9986
Epoch 051 | Loss 0.0093 | Val 0.9856 | Full 0.9971
